dorsal;biker;club;time
3375;Jessica Jacobs;Independiente;00:00:00
2790;David Snyder;Independiente;00:00:00
5080;Mrs. Tracey Richards;Independiente;00:00:00
354;Tonya Zimmerman;Independiente;00:00:00
184;Keith Murray;BERA BERA;00:00:00
2714;Karen Ramirez;Club ciclista La Garriga ;00:00:00
3803;Brian Carpenter;Independiente;00:00:00
1463;Stephen Blake;Independiente;00:00:00
3474;Barbara Williams;Independiente;00:00:00
4672;Jennifer Rodgers;Independiente;00:00:00
2718;Whitney Smith;E.C. GIRONELLA ;00:00:00
3345;Dominic Gregory;Quinto Racing Team ;00:00:00
2390;Pamela Fowler;Independiente;00:00:00
978;Matthew Vance MD;Aire norte ;00:00:00
1584;Kayla Richardson;Independiente;00:00:00
4571;Leslie Velez;A.C.Montjuïc ;00:00:00
4832;Cynthia Allen;Independiente;00:00:00
1484;Nicole Hernandez;C.c. Alfinden;03:01:18
1916;Jessica Ross;GEIC Carcalin;03:05:19
1424;Randy Snyder;Independiente;03:09:03
160;Steven Mullins;Independiente;03:20:07
2;Ryan Webb;Orbea Sport CLUB ;03:20:08
8;Marcia Novak;Garri Bikes;03:20:09
260;Lawrence Arias;Independiente;03:21:24
65;Andrea Daniel;BIZIKLETA.COM;03:25:14
2392;Kimberly Cruz;Independiente;03:25:19
39;Jason Sims;ARVO CLLCTV;03:25:20
262;Kari Rodriguez;CLUB Garri bikes ;03:25:56
878;Yolanda Mckenzie;Independiente;03:27:22
213;Adam Brown;UC VILANOVA;03:28:18
2882;Daniel Turner;CC NOLIMITS;03:30:18
647;Vernon Hayes;Independiente;03:30:44
88;Kristy Ingram PhD;El templo del biker;03:30:47
1182;Daniel Freeman;Independiente;03:31:18
148;Mike Newton;cc.nolimits valles ;03:33:52
1500;Mary Winters;GR BIKES ;03:34:22
196;Jeffrey Tucker;Nova del Vallés Cycling Team ;03:34:22
232;Susan Miller;Independiente;03:34:24
1998;Kenneth Cole;Independiente;03:34:59
458;Alexandra Brooks;Club Ciclista Saidi;03:34:59
1487;Tracy Miller;Club Ciclista Sariñena ;03:35:07
163;Cynthia Williams;El Cubio ;03:35:20
171;Todd Rosales;LOURIÑA TEAM ;03:35:20
722;Hannah Romero;CLUB ESPORTIU CICLISTA KE PASA TIU TEAM;03:36:16
1291;Anthony Jones;Panticosa Esquí CLUB;03:38:00
173;Joshua Garrison;Independiente;03:38:18
237;Gary Vang;Independiente;03:38:52
304;Joseph Mckee;Independiente;03:38:57
37;Stacy Leach;Independiente;03:39:00
110;Jacob Shaw;Independiente;03:42:23
3994;Jacob Grant;Independiente;03:43:18
2216;Laura Wagner;Independiente;03:43:28
718;Sarah Duncan;Independiente;03:43:53
451;Jessica Fox;Leitz;03:43:54
113;Tony Kirby;C.c.carcastillo;03:43:55
43;Timothy Garza;RAVET BIKE ;03:44:01
42;Tiffany Macdonald;RAVET BIKE ;03:44:01
13;Debra Smith;GC Amigos de Calaceite ;03:44:42
1151;Jason Smith;Independiente;03:44:52
1149;Stacy Conley;ESPORT CICLISTA MANRESA;03:44:54
64;Mary Dillon;Independiente;03:45:01
62;Daniel Lopez;AVECHUCHOS ;03:45:17
489;Christopher Franklin;CLUB CICLISTA SOSES;03:45:42
1104;Joshua Jenkins;BM El Papiol ;03:46:37
1193;David Charles;Black Pata C.C.;03:46:47
1395;Dawn Davidson;Ciutat de Reus ;03:47:12
285;Claire Phillips;Independiente;03:47:15
258;Richard Perkins;MTB_Sigüenza ;03:47:22
1055;Robert Maynard;Independiente;03:47:32
4228;Krista Montgomery;Independiente;03:47:48
2798;Tonya Robinson;Independiente;03:48:00
139;Angel Reid;Club nestle;03:48:58
1277;Andrea Myers;CC Ruizre Seguros;03:49:29
24;Jacqueline Robertson;Independiente;03:49:45
3854;Cathy Rodriguez;CLUB ciclista ;03:49:46
127;Rebecca Brown;Independiente;03:50:51
2039;Jamie Carr;Independiente;03:50:54
2769;Debra Goodwin;SC Bilbaína;03:51:05
1209;Elizabeth Zavala;CEADEA MTB ;03:51:09
899;Sean Cooper;CLUB ciclista Utebo;03:51:27
190;Jennifer Webb;BTT Cumbrales;03:52:16
1465;Emily Shields;Club Ciclista Sariñena ;03:52:17
1203;Herbert Beasley;Addict Bikes Racing Team ;03:52:27
1159;Jeffrey Marquez;S.D.HUECHA ;03:52:28
155;Jason Smith;Independiente;03:52:50
1479;Bryan Johnson;CC ENBIZZI ;03:53:01
649;Sergio Collins;BERA BERA;03:53:47
3206;Tammy Gregory;Vintorobike;03:53:55
72;Cynthia Walker;Independiente;03:54:04
1157;Jessica Wolfe;UC Vilanova;03:54:08
3112;Kevin Williams;Independiente;03:54:13
3760;James Jacobs;Independiente;03:54:13
2866;Jennifer Austin;Independiente;03:54:15
1156;Patricia Mcmahon;Independiente;03:54:21
2706;Lauren Barnes;carcastillo;03:54:36
449;Bethany Williams;Independiente;03:54:36
112;Mark Cross;Independiente;03:54:44
169;Christine Ray DDS;Independiente;03:54:50
1467;Dawn Black;CLUB CISLISTA OSCENSE;03:55:31
174;Sean Savage;Independiente;03:55:43
180;Connie Warren;Independiente;03:55:54
486;Jose Roberts;Club Ciclista Soses;03:56:04
438;Melissa Morgan;CLUB Ciclista Mayencos ;03:56:05
2782;David Oliver;Independiente;03:56:11
950;Teresa Ryan;Independiente;03:56:14
1478;Keith Moore;Independiente;03:56:20
690;Melissa Gilmore;CLUB CICLISTA SOSES;03:56:20
128;Devin Lopez;Independiente;03:56:21
1000;Todd Rodriguez;C.D.El cubio ;03:56:33
2868;Stephanie Saunders;Tri+9 El Masnou;03:56:50
57;David Miller;Independiente;03:57:10
2855;Timothy Anderson;Team yurrebaso ;03:58:20
2781;Elizabeth Mason;Independiente;03:58:26
4324;Kyle Vaughn;Laudioar Tx. E.;03:58:27
1040;Mary Patel;Independiente;03:58:54
2821;Jill Collins;BikeBCNCC;03:58:58
275;Angela Martin;Bike Bcn c.c ;03:58:58
2666;James Jones MD;RAVET BIKE ;03:59:01
209;Philip Swanson;Independiente;03:59:22
1456;Jennifer Simmons;Lanaja BTT ;03:59:23
549;Haley Johnson;Independiente;03:59:26
281;April Wiggins;Independiente;03:59:44
1499;John Hansen;CLUB CICLISTA OSCENSE;03:59:45
69;Tammy Williams;Club Social Cheyenne ;04:00:06
948;Samantha Calderon;Independiente;04:00:09
33;Joshua Smith;Arvo Cllctv;04:00:17
1212;Shane Perez;Independiente;04:01:03
846;Howard Lee;Independiente;04:01:04
240;Elizabeth Austin;Independiente;04:01:08
429;Russell Mcconnell;CLUB Ciclista Traiguera;04:01:27
1486;Zoe Sloan;Independiente;04:01:29
576;Jennifer Roberson DDS;Independiente;04:01:30
5505;Robert Cannon;Independiente;04:01:43
1439;Joseph Wolf;Transmonegrinos tean ;04:01:45
279;Rebecca Gonzalez;PsyCycling Coach ;04:01:49
2873;Jeffrey Bird;Independiente;04:01:52
1292;Kimberly Thomas;Independiente;04:02:09
845;John Crawford;Independiente;04:02:21
842;James Davis DDS;CLUB CICLISTA ALMOGAVAR;04:02:21
73;Jeffrey Pitts;Independiente;04:02:22
230;David Lee;Independiente;04:02:26
316;Kevin Davis;Independiente;04:02:29
412;Alexis Stewart;ELORRIOKO BANAN BANAN;04:02:31
102;David Graham;Independiente;04:02:45
101;Kaitlyn Cox;Independiente;04:02:45
599;Devin Li;C.C. LECIÑENA;04:03:13
2142;Jody Wall;Independiente;04:03:25
741;Michelle Henson;Independiente;04:03:25
803;Jessica English;Sport CLUB ;04:03:54
129;Rebecca Walker;Independiente;04:03:54
673;Dylan Garcia;CLUB ciclista Santa isabel ;04:03:55
901;Robert Sanchez;Independiente;04:03:58
1266;Andre Smith;Independiente;04:04:11
4410;Rachel Nelson;Independiente;04:04:15
313;Gary Bentley;FLOP CMC ;04:04:22
604;Terry Terry;Mendaroko txirrindulari rlkartea ;04:04:23
320;Alexandra Bowman;Club Ciclista Cuarte de Huerva ;04:04:26
58;Madison Smith;Independiente;04:04:30
26;Holly Dominguez;ORBEA SPORT CLUB ;04:04:33
1552;Kelly Mathews;Independiente;04:04:46
2384;Brian Rivera;CC mayencos;04:04:49
2670;Christine Jenkins;MONTBIKE AMPOSTA ;04:05:02
1450;Blake Schwartz;Independiente;04:05:02
2676;Catherine Johnson;Independiente;04:05:10
387;Jennifer Nixon MD;Guriezo MTB Team ;04:05:19
2774;Ashley Lewis PhD;La braña-solorunners ;04:05:24
1022;Brooke Rodriguez;Btt ejea ;04:05:31
413;Carol Blankenship;BTT EJEA ;04:05:32
904;Wendy Terrell;Independiente;04:05:38
322;Jason Brewer;CC FRAGA ;04:05:47
220;Maria Wilson;Independiente;04:05:48
3076;Christina Marshall;Independiente;04:05:58
2835;Mr. Mark Jackson;Independiente;04:06:04
603;Monique Young;73FACTORY BG TEAM;04:06:17
193;Kayla Jones;Cantonet ;04:06:39
3876;Chloe Taylor;CLUB Ciclista Barbastro;04:06:40
1161;Deanna King;Independiente;04:06:50
1477;Anne Brown;Ejarom bikes ;04:06:51
1286;Michelle Miller;Independiente;04:06:59
1205;Jordan Schultz;Elgoibarko Lagun taldea;04:07:16
2836;Robert Owens;SOFO-KOM ;04:07:25
3998;Amber Williams;Independiente;04:07:30
3327;Rhonda Fernandez;Independiente;04:07:37
31;Kaitlin Perez DDS;Independiente;04:07:38
225;Deborah Garcia;Independiente;04:07:38
3967;Jacqueline Yates;Independiente;04:07:42
263;Dr. Stephanie Montoya MD;SC BILBAINA;04:07:47
103;Jessica Burke;CN TERRASSA TRIATLO;04:07:54
1002;Sara Casey;Independiente;04:08:03
2695;Christopher Stevenson;Independiente;04:08:10
2727;Rita Davis;Independiente;04:08:12
2705;Lori Wagner;Muntbikes;04:08:13
981;Tara Todd;Independiente;04:08:13
655;Jessica Davis;BERA BERA;04:08:19
516;Christian Velasquez;Independiente;04:08:28
3867;Samuel Smith;Independiente;04:08:35
4393;Courtney Abbott;Independiente;04:08:43
4127;David Chan;club ciclista arbucies ;04:09:02
830;Nathaniel Daniels;Independiente;04:09:19
1124;Cameron Cook;Independiente;04:09:20
370;Michael Murphy;Independiente;04:09:30
4337;Michelle Jenkins;Independiente;04:09:31
2655;Marie Berger;Xetiratu ;04:09:33
1081;Kenneth Patel;BICIGRINOS ;04:09:38
987;Chloe Smith;Independiente;04:09:53
1296;Julie West;Independiente;04:10:04
85;Alicia King;Salvadores Bike Team ;04:10:09
462;Sean Vasquez;Independiente;04:10:15
2577;Marie Daniels;Team disnova ;04:10:29
332;Amanda Mccarthy;Independiente;04:10:35
5509;Mr. Matthew Robinson Jr.;Independiente;04:10:36
2737;Julie Black;Independiente;04:10:46
63;Sheila Ramos MD;Independiente;04:10:49
1078;Kathryn Mckinney;Independiente;04:11:09
1226;Sharon Kline;Independiente;04:11:12
4406;William Rivas;Independiente;04:11:17
3997;Mark Thomas;Independiente;04:11:36
850;David Wheeler;C.C. ALEN BIKE ;04:11:37
697;Amy Rodriguez;Independiente;04:11:38
3996;Renee Sosa;Independiente;04:11:44
642;William Martin;Independiente;04:11:51
1669;Aaron Wise;Independiente;04:11:52
2698;Jennifer Riley;Tri+9 El Masnou;04:11:59
4333;Joanne Henderson;Independiente;04:12:02
3054;Joseph Richardson;Bicicletas Aparicio BTT;04:12:28
185;Jordan Wheeler;Bicicletas Aparicio BTT;04:12:29
1285;Zachary Baker;Bikineros;04:12:39
1222;Kristen Hicks;Uc.benidorm;04:12:41
2814;Caleb Anderson;Independiente;04:12:42
2813;Charlene Day;Serma;04:12:43
2815;Ryan Murphy;Serma;04:12:43
1033;Melinda Johnson;CRUZADOS BTT ZARAGOZA;04:12:47
755;Alexander Callahan;Independiente;04:12:51
82;Alexander Booth DDS;Club ciclista castreño ;04:13:06
4362;Anna Rodriguez;Independiente;04:13:06
745;Andrew Miller;Club ciclista Sastago;04:13:09
1105;Kristen Patton;CN Caldes;04:13:10
210;Timothy Graves;Independiente;04:13:12
1670;Bobby Cervantes DVM;Independiente;04:13:25
61;Benjamin Smith;Independiente;04:13:26
2637;Kelly Chandler;Independiente;04:13:32
2770;Destiny Curtis;Independiente;04:13:37
2744;Deanna Price;Independiente;04:13:39
2875;Kimberly Banks;Independiente;04:13:58
1138;Jordan Wolfe;Independiente;04:14:05
379;Karen Oconnell;LA TORRETA BIKE;04:14:23
109;Brandon King DVM;Independiente;04:14:24
774;Elizabeth Dean;Independiente;04:14:26
678;Joseph Osborne;Etxebarri Xtrem;04:14:34
855;Amanda Bauer;BLANDA SPARTANS;04:14:43
856;Benjamin Osborn;BLANDA SPARTANS;04:14:44
2651;Lindsay Campbell;Independiente;04:14:52
172;Dustin Gibson;Independiente;04:15:02
1065;Anthony Hunt;CLUB CICLISTA BANYOLES ;04:15:02
1877;Gregory Schroeder;EC.BAIX CAMP ;04:15:09
2673;Amanda Smith;VAS CYCLING;04:15:16
1225;Michael Brown;cc denia velosol cycling team;04:15:27
661;Cory Salazar;Independiente;04:15:36
1496;Amy Sheppard;Independiente;04:15:45
2395;Cheyenne Walker;Independiente;04:15:45
866;Jose Anderson;Independiente;04:15:46
77;Nathan James;Aloña Mendi;04:15:46
2196;Stephen Black;Independiente;04:15:47
573;Jasmine Williams;Independiente;04:15:52
4400;Jennifer Stone;Independiente;04:15:59
629;Darryl Huff;CLUB Ciclista Sant Celoni;04:16:04
862;Erik Lewis;CLUB CICLISTA SANT CELONI;04:16:05
218;John Porter;Independiente;04:16:05
579;Amber Nelson;Club ciclista Sant Celoni;04:16:05
473;Rebecca Boyd;Independiente;04:16:07
2838;Mr. Keith Hill;CLUB CICLISTA CADREITA ;04:16:12
421;Mr. Richard Mendoza;Independiente;04:16:33
546;Kevin Jones;Independiente;04:16:33
474;Kelly Dixon;Bike bcn cc;04:16:34
267;Dr. Linda Fuller;CC BIKE BCN;04:16:35
817;Dawn Jones;CLUB ciclista oscense;04:16:41
1155;Jose Jimenez;Independiente;04:16:45
1178;Autumn Hawkins;Independiente;04:17:00
1177;Greg Fletcher;UC Vilanova;04:17:00
851;Rebecca West;C.C. Graus ;04:17:02
2857;Margaret Bowman;Independiente;04:17:08
2720;Zachary Briggs;Independiente;04:17:09
4055;Timothy Johnson;LEFA TEAM LINBIKES ;04:17:13
143;Juan Rose MD;Independiente;04:17:16
2750;Christine Chase;Independiente;04:17:23
2438;Alicia Flynn;CC MTB Lobos Zaragoza;04:17:31
795;James Arnold;Independiente;04:17:48
1092;Robert Krueger;Independiente;04:18:00
2251;Melissa Bishop;Independiente;04:18:01
540;Justin Shaw;Berango* T.E.;04:18:03
706;Samuel Mitchell;Independiente;04:18:06
933;Megan Bowen;Independiente;04:18:08
1480;Christopher Kelley;Independiente;04:18:17
2308;Marissa Clark;Independiente;04:18:18
505;Vincent Anderson;Independiente;04:18:23
1489;Lorraine Gordon;CLUB CICLISTA SARIÑENA ;04:18:27
1420;Gary Allen;Independiente;04:18:29
1273;Adam Lambert;Makinas&Rilaos ;04:18:30
638;Crystal Lyons;C.C Oscense;04:18:31
3;Stacy Moore;Cc oscense ;04:18:32
668;Lauren Myers;Independiente;04:18:40
2244;Rebecca Miller;Independiente;04:18:47
446;Nicole Smith;Independiente;04:18:52
627;Mr. Timothy Murphy;C.C.Tàrrega;04:18:55
2812;Christine Gonzalez;A.D.Huecha ;04:19:09
2689;Paul Lynch;CLUB CICLISTA HORTA;04:19:10
512;John Walton;Independiente;04:19:18
1037;Peter Smith;Independiente;04:19:26
983;William Bray;Independiente;04:19:28
2780;Caitlyn Eaton MD;Ballobar ;04:19:28
75;Mike Booth;Club Esportiu Lo Negrell ;04:19:31
825;Joseph Sanchez;CLUB CICLISTA MONTBRIÓ ;04:19:35
1101;Sean Brown;Addict Bikes ;04:19:36
1509;Angela Higgins;Independiente;04:19:37
386;Joshua Holt;iurreta txirrindulari elkartea ;04:19:45
924;Richard Miller;CLUB ciclista Utebo;04:19:48
5219;Leah Lawson;Sasiordeka K.E.;04:19:48
229;Christopher Larson;CC.FRAGA ;04:19:51
907;Michael Taylor;Independiente;04:19:53
228;Jennifer Salas;CC.FRAGA ;04:19:53
2738;Jennifer Gonzalez;Independiente;04:19:55
242;Susan Lowe;Independiente;04:19:58
4192;Kathleen Simpson;CLUB CICLISTA COMPOSTELANO ;04:20:03
121;Michelle Jones;CLUB Ciclista;04:20:05
235;Jacob Beck;Independiente;04:20:05
1044;Brian Henderson;Ermuko Txirrindulari Elkartea;04:20:14
1485;Anna Robbins;CLUB Ciclista Sariñena ;04:20:16
166;Eric Powell;TRI+9 EL MASNOU;04:20:21
970;Raven Tucker;Prorunners bcn ;04:20:27
177;Ashley Wells;BENTOR ;04:20:37
4382;Joshua Watkins;El tio de la barba Club;04:20:42
309;Michael Garcia;Independiente;04:20:45
1945;Michael Newman;CC ACTUR ;04:20:52
756;Rebecca Williams;Independiente;04:20:56
991;David Howard;CLUB CICLISTA BARBASTRO;04:20:57
1260;Sara Hogan;Independiente;04:21:09
1218;Shelley Harris;Independiente;04:21:17
324;Ralph Williams;Independiente;04:21:21
912;Jeffrey Bailey;Independiente;04:21:23
886;James Harris;CC Tubular ;04:21:31
1216;Dylan Rodriguez;Cuarenta x el desierto ;04:21:43
1240;Jamie Murphy;Tubular;04:21:51
977;Paul Benson;Penya cicilsta porrerenca;04:21:55
1129;Natalie Perez;Independiente;04:21:55
403;Ronald Becker;bikecarde10;04:21:57
765;Angela Gilbert;Independiente;04:22:07
2657;Brian Cruz;Basahuntzak tkt;04:22:08
1190;Abigail Davidson;Clembuteroles BTT;04:22:21
2853;Christopher Jackson;Independiente;04:22:23
1224;Joseph Hughes;Independiente;04:22:30
1275;Kyle Rivera;Independiente;04:22:31
501;Tiffany Perry;Independiente;04:22:39
2850;Sarah Duncan;Independiente;04:22:46
2849;Jonathan Reeves;Independiente;04:22:46
435;Ivan Thomas;Independiente;04:22:54
1165;Jessica Jefferson;Independiente;04:22:54
2707;Jeffrey Horton;Independiente;04:22:54
2756;Richard Ball;Independiente;04:22:56
724;Travis Webb;Ermuko Txirrindulari Elkartea;04:23:05
2724;Laura Rich;Velodrom CC;04:23:11
696;Russell Ibarra;CC FRAGA ;04:23:16
2312;Michael Gonzalez;Independiente;04:23:29
602;Joseph Ryan;SportBikeBcn ;04:23:30
1169;Summer Williams;Planificat Cycling Team;04:23:30
1179;Frank Cohen;MATXITXAKO TALDEA;04:23:41
372;Troy Lucas;Independiente;04:23:48
711;Sandra Leonard;Independiente;04:23:49
1071;John Davidson;Bikevillage;04:23:50
195;Joanne Mosley;Il Treno Social CLUB ;04:23:51
890;Veronica Anderson;Independiente;04:23:53
650;Amber Edwards;Guriezo MTB Team ;04:23:55
707;Daniel Berry;CLUB CICLISTA FRAGA;04:23:56
1539;Teresa Simon;Independiente;04:24:12
445;Kyle Carney;Independiente;04:24:14
264;Robert Parker;BH Factory Team;04:24:14
1476;Andrea Reynolds;Independiente;04:24:15
506;Rachel Ryan;Independiente;04:24:19
3056;Mark Hamilton;Independiente;04:24:20
1143;Desiree Lopez;Independiente;04:24:23
81;Monica Garcia;Independiente;04:24:24
4289;Jeffrey Calhoun;Tricarlet;04:24:47
358;Richard Williams;Independiente;04:24:48
4288;Steven Sloan;Veloclub carlet;04:24:48
2682;Nathan Leon;Getxo Triatloi Taldea;04:24:48
1468;Anna Watson;Club Ciclista Sariñena ;04:24:49
1461;Jessica Lambert PhD;CLUB Ciclista Sariñena ;04:24:50
2729;Bryan Ruiz;OCTOWAVE ;04:25:00
487;Patricia Mccoy;Independiente;04:25:02
2681;Kevin Flowers;Independiente;04:25:03
1229;Pamela Stafford;Independiente;04:25:05
1168;Megan Jones;Independiente;04:25:06
369;Amber Mcgrath;Independiente;04:25:06
376;Michelle Travis;Independiente;04:25:09
1502;Jennifer Good;Independiente;04:25:21
4383;Patrick Wilson;Independiente;04:25:21
226;Steve Ward;Independiente;04:25:24
255;Mark James;Independiente;04:25:25
202;Dr. Gary Hartman;Independiente;04:25:26
2086;Cheryl Espinoza;Independiente;04:25:36
2350;Roy Norton;Independiente;04:25:37
231;Jason Hunter;Etxebarri Xtrem;04:25:39
2703;Michelle Garcia;Independiente;04:25:40
4678;Michael Graham;Cicles Vic ;04:25:55
4313;Nicholas Watts;Independiente;04:25:57
4075;Erica Brooks;BIKE BCN CC;04:26:07
141;Seth Pham;Independiente;04:26:07
272;Brandon Mendoza;BIKEBCN CC ;04:26:07
2423;Kelly Peters;Independiente;04:26:09
1034;Zachary Figueroa;Veloclub Carlet;04:26:14
613;Jonathan Villegas;Independiente;04:26:16
2168;Robert Moore;Independiente;04:26:24
270;Shane Parker;AD KORRIKAZALEAK ;04:26:40
142;Eric Dawson;BARAKABIKE ;04:26:42
526;Karen Hall;CC FRAGA ;04:26:44
592;Jessica Perez;CC SAIDI ;04:26:45
286;Mr. Thomas Nixon;Independiente;04:26:54
216;Zoe Herrera;Independiente;04:26:57
2890;Beth Townsend;CLUB CICLISTA PLATJA D'ARO ;04:27:08
931;Samuel Carter;Veloclub Carlet;04:27:08
4005;Julia Johnson;Independiente;04:27:09
565;Elizabeth Weber;cc montbrio del camp ;04:27:14
4394;Douglas Aguilar;CCTORREJON ;04:27:17
182;Debra Doyle;Independiente;04:27:23
2702;Aaron Logan;Independiente;04:27:27
2465;Thomas Hays;Independiente;04:27:33
3976;Susan Thomas;Team Colombia;04:27:38
1867;Leah Hanna;CD Elomendi;04:27:40
4109;Jamie Meadows;Independiente;04:27:41
4108;Charles Reese;Independiente;04:27:41
410;Julian Moore;Independiente;04:27:46
1039;Marissa Ray;BTT ejea ;04:27:51
544;Anne Hendrix MD;BTT EJEA ;04:27:51
704;Leah Ortega;C.C Edelweiss;04:27:51
278;Gloria Russell;ALLOUT CYCLING ;04:27:51
351;Thomas Estrada;Independiente;04:27:53
671;Zachary Ward;Independiente;04:27:55
1084;Kayla Moss;CLUB ciclista tauste ;04:28:02
1458;Amy Lucas;Independiente;04:28:20
2874;Daniel Fisher;BTT VALDESPARTERA;04:28:21
837;Cynthia Hensley;CC Tubular ;04:28:28
3929;Julie Harris;Blandaespartans;04:28:29
3318;Jason Jones;ZZE;04:28:52
2648;Carolyn Perry;Saltoki Trikideak;04:29:02
2653;Eric Clark;C.C. Aguilar ;04:29:03
297;Jessica Murphy;Independiente;04:29:06
2583;Dawn Mcgrath;Ciclosport jaume 1 ;04:29:09
1448;Jason Smith;Independiente;04:29:12
1521;Barbara Russell;Independiente;04:29:18
3840;Nancy Anderson;Independiente;04:29:36
4046;David Cole;Independiente;04:29:41
1735;David Mccullough;Independiente;04:29:43
2805;Maurice Ford;Independiente;04:29:47
119;Donna Key;Independiente;04:30:04
356;Jeremy Best;Independiente;04:30:13
1559;Jonathan White;Independiente;04:30:21
2796;Kyle Torres;Independiente;04:30:28
1271;Tyler Short;Independiente;04:30:32
2728;Brenda Reynolds;Independiente;04:30:35
1244;Mr. Bryan Choi;Basahuntzak TKT Etxebarri;04:30:46
657;Cheyenne Wilson;Basahuntzak tkt Etxebarri;04:30:46
654;Andrea Hawkins;Independiente;04:30:47
2463;Julie Jacobson;Independiente;04:30:53
2639;Donna Pruitt;Independiente;04:30:58
682;Steven Simon;BERA BERA RUGBY;04:30:59
2638;Leonard Jones;Independiente;04:31:00
2640;Karen Edwards;Cross Academy;04:31:00
3216;Jennifer Wood;CLUB natació caldes;04:31:00
111;Emma Terry;Independiente;04:31:03
1046;Shannon Barnett;CLUB ciclista la báscula ;04:31:07
5241;Paul Barnes;Independiente;04:31:17
2847;Alyssa Winters MD;Independiente;04:31:42
776;William Vang;Cctorrejon ;04:31:52
1471;Katherine Guerra;CLUB ciclista Sariñena ;04:32:05
2153;Michelle Farrell;Independiente;04:32:10
3852;Nicole Oliver;Independiente;04:32:13
276;Jennifer Long;CLUB Ciclista Alhama ;04:32:16
947;Brittany Harrison MD;Independiente;04:32:25
3356;James Jones;Independiente;04:32:31
3156;Ryan Hunter;Xtreme bike Vigo ;04:32:35
833;David Peters MD;Independiente;04:32:38
834;Penny Glover;Independiente;04:32:39
1015;John Williams;Stadium Casablanca ;04:32:40
1171;Kyle Morales;werunteam;04:32:41
2399;Daniel Perry;Independiente;04:32:42
2277;Traci Diaz;Regaliz de palo;04:32:43
534;Gina Hernandez;CLUB Ciclista Soses;04:33:02
1767;Ms. Jessica Koch;Independiente;04:33:11
750;Jim Adams;Yequedabici;04:33:13
1606;Jacqueline Williams;Independiente;04:33:25
2888;Cody Black;Independiente;04:33:30
2444;Lisa Bennett;Independiente;04:33:37
624;Tracy Krause;Independiente;04:33:51
456;Francis Zhang;F2 ALJU;04:33:51
1230;Samantha Nielsen;CLUB CICLISTA CASPOLINO;04:33:57
689;Alan Hayes;Independiente;04:33:57
